Date,Open,High,Low,Close
12/29/2023,"42,521","43,121","41,689","42,023"
12/28/2023,"43,498","43,812","42,314","42,521"
12/27/2023,"42,154","43,562","42,123","43,498"
12/26/2023,"43,422","43,718","41,689","42,154"
12/25/2023,"43,530","43,788","42,716","43,422"
12/24/2023,"43,732","43,952","43,447","43,530"
12/23/2023,"43,685","44,069","43,349","43,732"
12/22/2023,"43,776","44,396","43,435","43,685"
12/21/2023,"43,454","44,244","43,318","43,776"
12/20/2023,"42,210","44,286","42,199","43,453"
12/19/2023,"41,941","43,409","41,815","42,211"
12/18/2023,"42,077","42,077","40,522","41,941"
12/17/2023,"42,302","42,360","41,564","42,077"
12/16/2023,"42,244","42,665","41,681","42,302"
12/15/2023,"42,934","43,176","41,684","42,245"
12/14/2023,"42,888","43,430","41,739","42,933"
12/13/2023,"41,214","42,889","40,658","42,888"
12/12/2023,"40,804","42,067","40,662","41,215"
12/11/2023,"43,956","44,042","40,219","40,804"
12/10/2023,"43,993","44,078","43,622","43,956"
12/09/2023,"44,394","44,724","43,767","43,993"
12/08/2023,"43,241","44,428","43,113","44,393"
12/07/2023,"43,803","44,039","42,879","43,241"
12/06/2023,"43,771","44,445","43,429","43,803"
12/05/2023,"41,774","44,080","41,419","43,772"
12/04/2023,"39,585","42,140","39,585","41,775"
12/03/2023,"39,554","39,830","39,307","39,585"
12/02/2023,"38,770","39,610","38,664","39,552"
12/01/2023,"37,758","38,984","37,627","38,770"
11/30/2023,"37,651","38,146","37,523","37,758"
11/29/2023,"38,282","38,385","37,610","37,651"
11/28/2023,"36,816","38,403","36,805","38,286"
11/27/2023,"37,595","37,755","36,752","36,816"
11/26/2023,"37,817","37,830","37,178","37,595"
11/25/2023,"37,861","37,958","37,619","37,817"
11/24/2023,"37,289","38,416","37,230","37,861"
11/23/2023,"37,635","37,855","36,915","37,289"
11/22/2023,"36,943","37,636","35,675","37,635"
11/21/2023,"37,573","37,656","36,296","36,942"
11/20/2023,"36,935","37,766","36,843","37,573"
11/19/2023,"36,619","37,037","36,416","36,936"
11/18/2023,"36,501","36,841","36,226","36,619"
11/17/2023,"35,948","36,684","35,849","36,501"
11/16/2023,"37,562","37,964","35,534","35,948"
11/15/2023,"35,286","37,855","35,232","37,562"
11/14/2023,"36,779","36,792","34,971","35,287"
11/13/2023,"37,146","37,419","36,593","36,778"
11/12/2023,"37,015","37,231","36,766","37,146"
11/11/2023,"37,259","37,520","36,937","37,015"
11/10/2023,"36,556","37,458","36,360","37,259"
11/09/2023,"35,628","37,960","35,413","36,556"
11/08/2023,"35,683","35,761","35,146","35,629"
11/07/2023,"35,027","35,894","34,546","35,685"
11/06/2023,"35,040","35,371","34,570","35,027"
11/05/2023,"34,758","35,327","34,742","35,040"
11/04/2023,"34,546","34,952","34,512","34,758"
11/03/2023,"34,997","35,104","34,126","34,546"
11/02/2023,"34,567","35,939","34,337","34,996"
11/01/2023,"34,545","35,184","34,142","34,567"
10/31/2023,"34,447","34,610","34,067","34,545"
10/30/2023,"34,580","34,842","34,110","34,447"
10/29/2023,"34,124","34,748","33,954","34,580"
10/28/2023,"33,688","34,445","33,688","34,124"
10/27/2023,"34,064","34,283","33,415","33,688"
10/26/2023,"34,773","34,842","33,752","34,066"
10/25/2023,"33,810","35,124","33,497","34,774"
10/24/2023,"31,392","35,145","31,350","33,811"
10/23/2023,"29,855","31,438","29,735","31,393"
10/22/2023,"30,173","30,214","29,712","29,855"
10/21/2023,"29,578","30,313","29,484","30,173"
10/20/2023,"28,765","30,188","28,601","29,578"
10/19/2023,"28,262","28,893","28,167","28,765"
10/18/2023,"28,521","28,964","28,168","28,262"
10/17/2023,"28,465","28,635","28,108","28,521"
10/16/2023,"27,043","29,977","27,021","28,465"
10/15/2023,"26,869","27,078","26,813","27,043"
10/14/2023,"26,771","27,104","26,744","26,869"
10/13/2023,"26,706","26,933","26,678","26,770"
10/12/2023,"26,759","26,930","26,554","26,706"
10/11/2023,"27,400","27,472","26,541","26,759"
10/10/2023,"27,614","27,727","27,298","27,400"
10/09/2023,"27,907","27,996","27,297","27,614"
10/08/2023,"27,884","28,106","27,733","27,907"
10/07/2023,"27,973","28,226","27,874","27,884"
10/06/2023,"27,487","28,054","27,195","27,972"
10/05/2023,"27,627","28,112","27,374","27,487"
10/04/2023,"27,269","27,825","27,194","27,627"
10/03/2023,"27,970","27,971","27,258","27,268"
10/02/2023,"27,105","28,565","27,061","27,969"
10/01/2023,"27,031","27,281","26,959","27,105"
09/30/2023,"26,921","27,089","26,867","27,031"
09/29/2023,"27,106","27,226","26,713","26,921"
09/28/2023,"26,241","27,287","26,208","27,105"
09/27/2023,"26,241","26,819","26,098","26,241"
09/26/2023,"26,335","26,418","26,091","26,241"
09/25/2023,"26,455","26,520","26,005","26,336"
09/24/2023,"26,614","26,718","26,392","26,455"
09/23/2023,"26,539","26,635","26,496","26,614"
09/22/2023,"26,607","26,731","26,491","26,539"
09/21/2023,"26,938","27,234","26,379","26,607"
09/20/2023,"27,198","27,382","26,846","26,938"
09/19/2023,"26,834","27,491","26,678","27,198"
09/18/2023,"26,512","27,420","26,413","26,834"
09/17/2023,"26,542","26,616","26,444","26,512"
09/16/2023,"26,410","26,872","26,384","26,542"
09/15/2023,"26,686","26,710","26,227","26,410"
09/14/2023,"26,156","26,824","26,153","26,686"
09/13/2023,"26,074","26,395","25,777","26,156"
09/12/2023,"25,006","26,503","24,926","26,074"
09/11/2023,"25,800","26,006","24,963","25,006"
09/10/2023,"25,868","25,910","25,608","25,800"
09/09/2023,"25,883","25,926","25,804","25,868"
09/08/2023,"25,877","26,414","25,664","25,882"
09/07/2023,"25,657","25,952","25,609","25,877"
09/06/2023,"25,676","25,999","25,394","25,656"
09/05/2023,"25,884","25,907","25,581","25,676"
09/04/2023,"26,002","26,105","25,732","25,884"
09/03/2023,"25,832","26,040","25,819","26,002"
09/02/2023,"25,622","25,974","25,560","25,832"
09/01/2023,"26,161","26,178","25,337","25,622"
08/31/2023,"27,181","27,528","25,960","26,161"
08/30/2023,"27,851","27,878","27,051","27,182"
08/29/2023,"25,981","28,128","25,915","27,852"
08/28/2023,"26,113","26,223","25,863","25,981"
08/27/2023,"26,029","26,167","25,965","26,113"
08/26/2023,"25,956","26,098","25,947","26,029"
08/25/2023,"26,006","26,279","25,771","25,956"
